customer_id,first_name,last_name,signup_date,region,acquisition_channel,email_opt_in,sms_opt_in,is_subscriber,lifetime_value_usd
C100000,Wes,Novak,2024-09-01,US-CA,podcast,True,True,True,231.56
C100001,Pavel,Quist,2026-03-28,US-IL,tiktok,True,True,False,212.89
C100002,Rosa,Hunt,2024-08-28,US-TX,email-referral,True,False,True,135.32
C100003,Jude,Patel,2024-06-11,US-FL,organic,False,True,False,107.05
C100004,Sofia,Gray,2025-02-05,US-FL,instagram,True,False,False,326.47
C100005,Rosa,Hunt,2025-04-10,AU,podcast,True,True,False,171.04
C100006,Jack,Vance,2025-08-18,US-TX,google,False,False,False,210.38
C100007,Rosa,Shah,2025-06-04,US-FL,podcast,True,False,False,191.62
C100008,Theo,Iqbal,2025-09-20,US-NY,email-referral,False,False,True,289.4
C100009,Xena,Ahmed,2025-11-02,UK,organic,False,True,False,181.95
C100010,Uma,Haas,2024-11-04,DE,organic,True,False,False,188.77
C100011,Beau,Lund,2026-06-17,UK,tiktok,True,False,True,172.04
C100012,Amara,Ueda,2024-05-10,US-WA,organic,True,True,False,177.02
C100013,Lena,Jain,2025-03-24,UK,instagram,True,False,False,35.42
C100014,Finn,Patel,2024-04-20,US-WA,email-referral,True,False,False,225.67
C100015,Diego,Lund,2025-07-07,US-NY,email-referral,False,False,True,415.57
C100016,Tara,Ellis,2024-02-20,US-IL,instagram,True,True,False,91.29
C100017,Milo,Ortiz,2025-02-03,CA,podcast,True,False,False,48.24
C100018,Max,Moreau,2026-05-31,US-IL,instagram,True,False,False,30.88
C100019,Ivy,Kim,2024-07-11,DE,google,True,False,False,176.92
C100020,Leo,Walsh,2025-12-11,US-TX,instagram,True,False,True,293.23
C100021,Lucy,Xu,2024-10-16,DE,organic,False,False,False,109.76
C100022,Mara,Vance,2024-07-29,US-IL,instagram,False,False,False,89.98
C100023,Gus,Rossi,2025-01-07,FR,tiktok,True,False,False,130.25
C100024,Noah,Ahmed,2025-01-12,CA,podcast,False,True,False,254.68
C100025,Enzo,Yilmaz,2024-08-07,US-WA,email-referral,True,True,True,412.65
C100026,Priya,Ferro,2025-05-20,US-CA,google,True,False,True,407.56
C100027,Tara,Yilmaz,2024-07-29,AU,email-referral,True,False,False,259.3
C100028,Ruby,Gray,2025-04-19,AU,instagram,True,False,True,244.37
C100029,Leo,Novak,2024-04-12,US-TX,google,True,False,False,192.93
C100030,Zane,Hunt,2024-06-18,US-CA,google,True,True,False,369.98
C100031,Nora,Diaz,2024-11-03,US-WA,podcast,True,False,False,257.24
C100032,Kira,Ward,2024-10-15,US-WA,instagram,True,False,False,29.9
C100033,Otis,Ferro,2026-04-22,AU,instagram,True,True,True,184.96
C100034,Zoe,Zhang,2025-07-05,CA,email-referral,True,True,False,277.02
C100035,Beau,Gray,2025-08-28,US-IL,podcast,True,False,False,221.16
C100036,Isla,Diaz,2024-08-24,FR,organic,False,False,True,528.8
C100037,Sage,Berg,2025-09-02,US-TX,tiktok,True,False,True,180.81
C100038,Finn,Tanaka,2025-02-19,US-NY,podcast,True,False,True,490.43
C100039,Sofia,Silva,2025-08-21,UK,instagram,True,False,False,220.77
C100040,Pavel,Lund,2025-12-15,US-FL,instagram,True,True,True,587.49
C100041,Aria,Park,2025-12-23,DE,google,True,False,False,102.54
C100042,Omar,Tanaka,2026-02-05,UK,organic,False,True,False,82.43
C100043,Tess,Ferro,2026-02-10,US-TX,google,True,True,True,337.96
C100044,Milo,Young,2025-10-13,US-NY,email-referral,True,False,True,222.47
C100045,Hana,Nash,2025-09-04,UK,google,False,False,True,405.83
C100046,Hana,Costa,2024-12-19,AU,podcast,True,True,False,106.47
C100047,Rina,Park,2024-07-25,US-WA,tiktok,True,False,False,109.58
C100048,Lila,Young,2025-10-15,US-CA,instagram,True,False,True,187.67
C100049,Ava,Vance,2025-07-09,UK,tiktok,True,True,False,187.89
C100050,Faye,Patel,2025-07-15,CA,tiktok,True,False,False,424.21
C100051,Noah,Ferro,2026-04-19,CA,tiktok,True,False,True,341.98
C100052,Pavel,Haas,2024-04-14,FR,podcast,True,False,False,227.84
C100053,Wes,Bauer,2025-06-30,UK,tiktok,True,False,False,322.45
C100054,Nina,Klein,2025-05-24,US-TX,instagram,True,False,False,68.51
C100055,Pavel,Khan,2024-11-01,FR,email-referral,True,False,False,241.49
C100056,Lila,Yilmaz,2025-04-22,DE,email-referral,True,False,True,285.71
C100057,Nico,Ellis,2024-07-17,US-TX,podcast,True,False,False,46.44
C100058,Sofia,Ortiz,2025-06-28,US-NY,instagram,True,True,False,107.96
C100059,Enzo,Vogel,2024-04-06,DE,tiktok,True,False,True,261.21
C100060,Gus,Zola,2024-07-06,US-FL,email-referral,True,False,False,60.81
C100061,Priya,Hunt,2026-04-08,US-NY,instagram,True,True,False,224.59
C100062,Rina,Ortiz,2024-05-14,AU,tiktok,True,True,False,157.77
C100063,Ken,Jain,2025-04-07,DE,tiktok,True,False,True,150.53
C100064,Nina,Lund,2025-08-17,AU,organic,True,True,False,262.14
C100065,Wes,Young,2024-04-15,US-WA,organic,True,False,False,280.37
C100066,Nico,Park,2024-07-22,DE,tiktok,True,False,False,271.26
C100067,Hana,Novak,2025-07-01,US-FL,email-referral,True,False,False,325.93
C100068,Aria,Ahmed,2026-03-04,US-TX,email-referral,False,False,False,351.8
C100069,Ava,Ortiz,2025-06-08,US-CA,email-referral,True,False,True,559.07
C100070,Omar,Moreau,2025-12-16,AU,tiktok,True,False,True,162.51
C100071,Remy,Ferro,2026-05-24,US-NY,organic,True,False,False,131.87
C100072,Owen,Ahmed,2026-02-04,US-TX,instagram,True,False,False,187.1
C100073,Faye,Owens,2025-05-08,US-CA,organic,True,True,True,203.18
C100074,Mara,Ellis,2025-08-19,US-WA,tiktok,True,False,False,107.17
C100075,Otis,Zola,2026-05-18,US-TX,instagram,True,False,False,304.87
C100076,Drew,Iqbal,2026-04-04,UK,email-referral,False,True,True,328.17
C100077,Wes,Lopez,2025-05-29,UK,podcast,True,False,False,139.51
C100078,Enzo,Silva,2026-01-08,US-WA,podcast,True,False,False,20.29
C100079,Finn,Diaz,2026-03-10,UK,google,True,True,False,44.96
C100080,Owen,Moreau,2025-03-24,US-TX,instagram,True,False,False,282.13
C100081,Amara,Lund,2025-03-29,FR,instagram,False,True,True,418.18
C100082,Jude,Diaz,2025-08-14,CA,organic,True,False,False,193.23
C100083,Sage,Haas,2025-02-17,DE,instagram,True,False,False,191.6
C100084,Rosa,Vance,2025-08-09,UK,email-referral,True,True,False,164.93
C100085,Aria,Vance,2024-06-22,DE,google,True,True,False,300.17
C100086,Remy,Ortiz,2026-04-24,US-FL,podcast,False,True,False,227.52
C100087,Theo,Torres,2026-03-04,DE,podcast,True,False,True,313.1
C100088,Tara,Silva,2026-03-02,US-NY,organic,True,True,False,47.51
C100089,Quinn,Walsh,2026-03-17,US-NY,google,True,True,False,114.77
C100090,Hana,Quist,2025-05-03,FR,email-referral,True,True,False,22.36
C100091,Nadia,Torres,2025-06-15,US-CA,instagram,True,True,False,261.21
C100092,Otis,Mora,2025-02-22,US-TX,email-referral,True,False,True,490.98
C100093,Ken,Hunt,2024-11-28,US-CA,organic,True,True,True,428.93
C100094,Finn,Mora,2026-04-24,US-NY,email-referral,True,True,True,696.99
C100095,Tess,Ito,2025-09-20,US-FL,podcast,True,False,False,278.9
C100096,Nora,Oduya,2026-05-08,AU,instagram,True,True,False,59.91
C100097,Quinn,Novak,2024-09-11,DE,instagram,True,True,False,305.87
C100098,Rosa,Ueda,2025-01-19,US-TX,google,True,False,False,75.73
C100099,Nina,Diaz,2024-03-25,US-IL,email-referral,True,True,False,347.14
C100100,Jack,Kim,2024-04-04,FR,tiktok,True,False,True,201.74
C100101,Kira,Diaz,2024-09-27,UK,email-referral,False,False,False,39.5
C100102,Nora,Tanaka,2026-05-08,FR,organic,True,False,True,402.49
C100103,Nora,Xu,2026-04-21,US-IL,email-referral,True,True,False,150.36
C100104,Priya,Ellis,2025-05-26,US-IL,organic,True,False,False,161.84
C100105,Nina,Costa,2024-07-04,UK,podcast,True,False,False,170.2
C100106,Theo,Ferro,2026-02-16,US-IL,podcast,True,False,True,213.08
C100107,Diego,Quist,2025-01-03,US-WA,podcast,True,True,False,137.7
C100108,Sofia,Hunt,2025-02-07,CA,organic,True,True,True,605.88
C100109,Lila,Xu,2024-07-15,DE,tiktok,True,False,True,363.45
C100110,Wes,Walsh,2024-12-13,DE,podcast,True,False,False,199.19
C100111,Kira,Iqbal,2024-04-09,US-CA,instagram,True,False,True,191.22
C100112,Ava,Nash,2025-07-19,US-TX,google,True,False,False,96.95
C100113,Leo,Patel,2024-07-13,AU,instagram,True,True,False,216.77
C100114,Lena,Khan,2025-09-15,US-TX,tiktok,False,True,False,50.58
C100115,Iris,Silva,2025-05-23,FR,organic,True,False,False,283.79
C100116,Leo,Ito,2024-05-01,US-WA,google,True,False,False,233.94
C100117,Zoe,Bauer,2024-04-14,AU,instagram,True,True,True,606.9
C100118,Vera,Walsh,2025-05-19,AU,organic,True,False,True,304.16
C100119,Xena,Novak,2026-01-10,US-IL,email-referral,True,False,False,41.9
C100120,Tess,Torres,2024-07-11,CA,organic,True,True,True,357.91
C100121,Pavel,Ward,2024-03-02,US-IL,instagram,True,False,True,450.05
C100122,Jude,Nash,2024-08-22,US-WA,google,True,False,False,47.92
C100123,Nico,Ito,2026-05-30,AU,tiktok,True,True,False,244.08
C100124,Noah,Gray,2024-12-10,US-CA,google,False,True,False,351.42
C100125,Quinn,Quist,2024-07-30,DE,organic,True,False,False,48.25
C100126,Eli,Vance,2024-04-03,US-IL,podcast,True,False,True,160.81
C100127,Lena,Kim,2026-01-01,DE,email-referral,True,False,False,196.55
C100128,Pia,Zola,2025-02-15,US-WA,email-referral,True,True,True,311.43
C100129,Nico,Berg,2024-12-26,UK,podcast,True,False,False,195.84
C100130,Remy,Oduya,2024-02-16,US-TX,organic,True,True,False,139.9
C100131,Lila,Silva,2026-02-18,US-IL,email-referral,False,True,True,296.19
C100132,Lena,Ito,2024-04-24,US-CA,tiktok,True,False,False,137.91
C100133,Priya,Ahmed,2026-04-27,CA,email-referral,True,False,False,435.38
C100134,Otis,Hunt,2025-06-23,UK,organic,True,False,False,188.48
C100135,Mara,Lund,2025-10-19,FR,podcast,True,True,False,83.49
C100136,Lila,Lopez,2026-01-26,US-FL,email-referral,True,True,False,231.17
C100137,Lena,Kim,2025-07-27,CA,email-referral,True,False,True,352.73
C100138,Pavel,Reyes,2024-05-27,US-TX,podcast,True,False,False,130.19
C100139,Gus,Xu,2025-09-23,US-FL,podcast,True,False,False,437.67
C100140,Remy,Jain,2025-01-01,US-WA,email-referral,True,False,False,226.0
C100141,Sage,Ueda,2024-04-20,US-CA,instagram,True,True,False,200.51
C100142,Tara,Moreau,2024-07-01,US-WA,podcast,True,True,False,324.87
C100143,Pia,Torres,2024-07-12,US-FL,instagram,True,False,True,247.42
C100144,Vera,Tanaka,2024-03-09,US-FL,tiktok,True,False,False,227.54
C100145,Gus,Ueda,2025-04-22,FR,tiktok,True,True,False,79.58
C100146,Remy,Costa,2024-03-24,US-WA,tiktok,True,True,True,200.58
C100147,Zane,Kim,2024-11-12,UK,tiktok,True,True,True,324.21
C100148,Milo,Zola,2024-08-23,US-FL,tiktok,False,True,False,346.63
C100149,Isla,Jain,2026-02-21,US-NY,instagram,True,True,False,417.18
C100150,Yara,Vogel,2026-03-31,US-CA,google,True,True,False,32.56
C100151,Tara,Ahmed,2024-03-18,US-IL,tiktok,True,False,True,282.85
C100152,Yara,Gray,2026-01-02,CA,google,True,False,False,424.4
C100153,Sage,Ortiz,2025-04-09,US-CA,instagram,True,False,True,243.76
C100154,Iris,Gray,2026-04-10,US-IL,tiktok,True,True,True,195.66
C100155,Max,Tanaka,2025-11-03,US-CA,email-referral,True,False,False,37.34
C100156,Zane,Oduya,2026-01-26,US-CA,podcast,True,True,True,260.8
